"","model","par","est","se","year"
"167","TMB-Mod4: Log-2D-AR1","Espawnbio",0.11099286331143,0.0189041837440681,1977
"168","TMB-Mod4: Log-2D-AR1","Espawnbio",0.097329827667985,0.0198395657079961,1978
"169","TMB-Mod4: Log-2D-AR1","Espawnbio",0.10017313686482,0.0209764262563121,1979
"170","TMB-Mod4: Log-2D-AR1","Espawnbio",0.138237559021372,0.0260177347194272,1980
"171","TMB-Mod4: Log-2D-AR1","Espawnbio",0.149241964474661,0.0256855625127758,1981
"172","TMB-Mod4: Log-2D-AR1","Espawnbio",0.240080948612304,0.0360882305842603,1982
"173","TMB-Mod4: Log-2D-AR1","Espawnbio",0.330530961540479,0.0468225839113672,1983
"174","TMB-Mod4: Log-2D-AR1","Espawnbio",0.361337197828401,0.0540964564449903,1984
"175","TMB-Mod4: Log-2D-AR1","Espawnbio",0.31844148588483,0.0554409877588039,1985
"176","TMB-Mod4: Log-2D-AR1","Espawnbio",0.288542639216724,0.0558580465883359,1986
"177","TMB-Mod4: Log-2D-AR1","Espawnbio",0.278206078490738,0.051330282364059,1987
"178","TMB-Mod4: Log-2D-AR1","Espawnbio",0.296404661147882,0.049317632642532,1988
"179","TMB-Mod4: Log-2D-AR1","Espawnbio",0.33741340722471,0.0467762494626178,1989
"180","TMB-Mod4: Log-2D-AR1","Espawnbio",0.361469436642155,0.0479195659596656,1990
"181","TMB-Mod4: Log-2D-AR1","Espawnbio",0.365217675586458,0.0488071589206997,1991
"182","TMB-Mod4: Log-2D-AR1","Espawnbio",0.344546338225411,0.0449483647819675,1992
"183","TMB-Mod4: Log-2D-AR1","Espawnbio",0.374566467970423,0.0452760289273681,1993
"184","TMB-Mod4: Log-2D-AR1","Espawnbio",0.440542412593108,0.0512735806807134,1994
"185","TMB-Mod4: Log-2D-AR1","Espawnbio",0.36493966303371,0.0428397999914854,1995
"186","TMB-Mod4: Log-2D-AR1","Espawnbio",0.336742771161228,0.0392467607846767,1996
"187","TMB-Mod4: Log-2D-AR1","Espawnbio",0.297994120407202,0.0352755364214498,1997
"188","TMB-Mod4: Log-2D-AR1","Espawnbio",0.228638262083861,0.0289225311220483,1998
"189","TMB-Mod4: Log-2D-AR1","Espawnbio",0.209958962200882,0.0275107359878288,1999
"190","TMB-Mod4: Log-2D-AR1","Espawnbio",0.197261338580288,0.0266249130283518,2000
"191","TMB-Mod4: Log-2D-AR1","Espawnbio",0.182638035439458,0.0262904657135994,2001
"192","TMB-Mod4: Log-2D-AR1","Espawnbio",0.151188477040517,0.0230584409448865,2002
"193","TMB-Mod4: Log-2D-AR1","Espawnbio",0.139630683371674,0.0207779068609056,2003
"194","TMB-Mod4: Log-2D-AR1","Espawnbio",0.155900100615104,0.0196608755309362,2004
"195","TMB-Mod4: Log-2D-AR1","Espawnbio",0.190028942640062,0.0238907594979652,2005
"196","TMB-Mod4: Log-2D-AR1","Espawnbio",0.202930119758934,0.027123778267746,2006
"197","TMB-Mod4: Log-2D-AR1","Espawnbio",0.178225379830366,0.0261273864243557,2007
"198","TMB-Mod4: Log-2D-AR1","Espawnbio",0.178582285901785,0.0272787323738802,2008
"199","TMB-Mod4: Log-2D-AR1","Espawnbio",0.182960262231802,0.0270440596151757,2009
"200","TMB-Mod4: Log-2D-AR1","Espawnbio",0.26758394008132,0.0358472813837262,2010
"201","TMB-Mod4: Log-2D-AR1","Espawnbio",0.326560587238336,0.0423065999467534,2011
"202","TMB-Mod4: Log-2D-AR1","Espawnbio",0.359665679897537,0.0470874110831929,2012
"203","TMB-Mod4: Log-2D-AR1","Espawnbio",0.397410924947268,0.0541937859750296,2013
"204","TMB-Mod4: Log-2D-AR1","Espawnbio",0.31163576690761,0.0441948831504424,2014
"205","TMB-Mod4: Log-2D-AR1","Espawnbio",0.291961473043008,0.0431812238290295,2015
"206","TMB-Mod4: Log-2D-AR1","Espawnbio",0.294972948568236,0.036343083360618,2016
"207","TMB-Mod4: Log-2D-AR1","Espawnbio",0.384427577461009,0.0458174098851081,2017
"208","TMB-Mod4: Log-2D-AR1","Espawnbio",0.362546706540834,0.0464260743214252,2018
"209","TMB-Mod4: Log-2D-AR1","Espawnbio",0.280130935853518,0.0402546263638835,2019
"210","TMB-Mod4: Log-2D-AR1","Espawnbio",0.197673284888432,0.0325782397244123,2020
"211","TMB-Mod4: Log-2D-AR1","Espawnbio",0.209421419266349,0.0350911266872188,2021
"212","TMB-Mod4: Log-2D-AR1","Espawnbio",0.208841760695047,0.0345512480986877,2022
"213","TMB-Mod5: AR1-Age","Espawnbio",0.131415909848034,0.04317667925926,1970
"214","TMB-Mod5: AR1-Age","Espawnbio",0.125582870954542,0.0423599554014655,1971
"215","TMB-Mod5: AR1-Age","Espawnbio",0.1161499945062,0.0408180720116904,1972
"216","TMB-Mod5: AR1-Age","Espawnbio",0.0996828190624868,0.0377233215243601,1973
"217","TMB-Mod5: AR1-Age","Espawnbio",0.0924396072379092,0.0314581456203779,1974
"218","TMB-Mod5: AR1-Age","Espawnbio",0.102574343204412,0.0254392599218705,1975
"219","TMB-Mod5: AR1-Age","Espawnbio",0.141798177083851,0.024156886865365,1976
"220","TMB-Mod5: AR1-Age","Espawnbio",0.168105466815193,0.0267445341665758,1977
"221","TMB-Mod5: AR1-Age","Espawnbio",0.163763568050197,0.0285110283960338,1978
"222","TMB-Mod5: AR1-Age","Espawnbio",0.173032592051216,0.0303014293712312,1979
"223","TMB-Mod5: AR1-Age","Espawnbio",0.224874784653814,0.0367700069874336,1980
"224","TMB-Mod5: AR1-Age","Espawnbio",0.229736580830417,0.0354871025190293,1981
"225","TMB-Mod5: AR1-Age","Espawnbio",0.339775095955522,0.0480536437548168,1982
"226","TMB-Mod5: AR1-Age","Espawnbio",0.444980019165034,0.0611473488264989,1983
"227","TMB-Mod5: AR1-Age","Espawnbio",0.483604445849161,0.0701047995469798,1984
"228","TMB-Mod5: AR1-Age","Espawnbio",0.439786654550363,0.0722460987912212,1985
"229","TMB-Mod5: AR1-Age","Espawnbio",0.4026536407562,0.073043420266122,1986
"230","TMB-Mod5: AR1-Age","Espawnbio",0.38101881322953,0.0675386049721359,1987
"231","TMB-Mod5: AR1-Age","Espawnbio",0.394675972500179,0.0648149766113314,1988
"232","TMB-Mod5: AR1-Age","Espawnbio",0.424440466749175,0.0603821092830777,1989
"233","TMB-Mod5: AR1-Age","Espawnbio",0.445403747264373,0.0605842834774467,1990
"234","TMB-Mod5: AR1-Age","Espawnbio",0.444456278355788,0.0602896587785079,1991
"235","TMB-Mod5: AR1-Age","Espawnbio",0.404667142531925,0.0530724721566135,1992
"236","TMB-Mod5: AR1-Age","Espawnbio",0.418401728108356,0.0512097713630382,1993
"237","TMB-Mod5: AR1-Age","Espawnbio",0.47146883560975,0.0554509322613634,1994
"238","TMB-Mod5: AR1-Age","Espawnbio",0.383819842681507,0.0455386866375322,1995
"239","TMB-Mod5: AR1-Age","Espawnbio",0.348097131241829,0.0410373719081154,1996
"240","TMB-Mod5: AR1-Age","Espawnbio",0.304934175342649,0.0364223403346971,1997
"241","TMB-Mod5: AR1-Age","Espawnbio",0.23325083762498,0.0294394789746619,1998
"242","TMB-Mod5: AR1-Age","Espawnbio",0.210462969113604,0.0274011642657699,1999
"243","TMB-Mod5: AR1-Age","Espawnbio",0.191810416229891,0.025809525235795,2000
"244","TMB-Mod5: AR1-Age","Espawnbio",0.172301489690098,0.0248805419562718,2001
"245","TMB-Mod5: AR1-Age","Espawnbio",0.138337566401907,0.0214325724251652,2002
"246","TMB-Mod5: AR1-Age","Espawnbio",0.123115099235235,0.0187144980531529,2003
"247","TMB-Mod5: AR1-Age","Espawnbio",0.13703710138655,0.0174754331342496,2004
"248","TMB-Mod5: AR1-Age","Espawnbio",0.168303422583531,0.0214013962734219,2005
"249","TMB-Mod5: AR1-Age","Espawnbio",0.177615018230039,0.0241159556387166,2006
"250","TMB-Mod5: AR1-Age","Espawnbio",0.153581309751096,0.0231642412988697,2007
"251","TMB-Mod5: AR1-Age","Espawnbio",0.154022359848458,0.0242761734384018,2008
"252","TMB-Mod5: AR1-Age","Espawnbio",0.162528167438459,0.0243674043172934,2009
"253","TMB-Mod5: AR1-Age","Espawnbio",0.253764533924821,0.0330287531496834,2010
"254","TMB-Mod5: AR1-Age","Espawnbio",0.320993583048763,0.0394099166917335,2011
"255","TMB-Mod5: AR1-Age","Espawnbio",0.360552904657051,0.0440970473868428,2012
"256","TMB-Mod5: AR1-Age","Espawnbio",0.401561992657088,0.0508237577361242,2013
"257","TMB-Mod5: AR1-Age","Espawnbio",0.316351899900749,0.0413798491153019,2014
"258","TMB-Mod5: AR1-Age","Espawnbio",0.294527140953763,0.0401563690796279,2015
"259","TMB-Mod5: AR1-Age","Espawnbio",0.289446731402693,0.0334737715339506,2016
"260","TMB-Mod5: AR1-Age","Espawnbio",0.370370185434495,0.0420085321852499,2017
"261","TMB-Mod5: AR1-Age","Espawnbio",0.345685962184388,0.0425764882642509,2018
"262","TMB-Mod5: AR1-Age","Espawnbio",0.264860412280664,0.0370428787163148,2019
"263","TMB-Mod5: AR1-Age","Espawnbio",0.185743104183521,0.030277344519396,2020
"264","TMB-Mod5: AR1-Age","Espawnbio",0.200744788655638,0.0341196423039971,2021
"265","TMB-Mod5: AR1-Age","Espawnbio",0.206822676792691,0.035304482427449,2022
"266","TMB-Mod6: AR1-Yr","Espawnbio",0.176837124908872,0.109055101180634,1970
"267","TMB-Mod6: AR1-Yr","Espawnbio",0.171164132818948,0.106981793304532,1971
"268","TMB-Mod6: AR1-Yr","Espawnbio",0.162688534347496,0.103378350108866,1972
"269","TMB-Mod6: AR1-Yr","Espawnbio",0.151492019956844,0.0984458995736628,1973
"270","TMB-Mod6: AR1-Yr","Espawnbio",0.154627752777475,0.094816775441752,1974
"271","TMB-Mod6: AR1-Yr","Espawnbio",0.183574972246387,0.08800926630161,1975
"272","TMB-Mod6: AR1-Yr","Espawnbio",0.276175992747173,0.0717866770808218,1976
"273","TMB-Mod6: AR1-Yr","Espawnbio",0.379368480595753,0.0659837098883356,1977
"274","TMB-Mod6: AR1-Yr","Espawnbio",0.419456394183092,0.0671713831015921,1978
"275","TMB-Mod6: AR1-Yr","Espawnbio",0.450126679075259,0.0596811088060978,1979
"276","TMB-Mod6: AR1-Yr","Espawnbio",0.541721079315951,0.0605199183149927,1980
"277","TMB-Mod6: AR1-Yr","Espawnbio",0.51405874074552,0.0537061091906341,1981
"278","TMB-Mod6: AR1-Yr","Espawnbio",0.665645681395347,0.0607974451176183,1982
"279","TMB-Mod6: AR1-Yr","Espawnbio",0.816686371378662,0.0703964840508796,1983
"280","TMB-Mod6: AR1-Yr","Espawnbio",0.866852403166085,0.0764395423537537,1984
"281","TMB-Mod6: AR1-Yr","Espawnbio",0.819766222035512,0.0755381149017245,1985
"282","TMB-Mod6: AR1-Yr","Espawnbio",0.750578145133672,0.0710693700999318,1986
"283","TMB-Mod6: AR1-Yr","Espawnbio",0.67761578482087,0.0637045080244141,1987
"284","TMB-Mod6: AR1-Yr","Espawnbio",0.647912114451697,0.0586475209039194,1988
"285","TMB-Mod6: AR1-Yr","Espawnbio",0.606641087484553,0.0506564734753009,1989
"286","TMB-Mod6: AR1-Yr","Espawnbio",0.610514862508299,0.0497123598131306,1990
"287","TMB-Mod6: AR1-Yr","Espawnbio",0.607458171234901,0.0489991786351809,1991
"288","TMB-Mod6: AR1-Yr","Espawnbio",0.556756201965376,0.043847087429774,1992
"289","TMB-Mod6: AR1-Yr","Espawnbio",0.592375053520368,0.0428799491990705,1993
"290","TMB-Mod6: AR1-Yr","Espawnbio",0.674486177676009,0.0492925494789123,1994
"291","TMB-Mod6: AR1-Yr","Espawnbio",0.549853002840169,0.0412834633767333,1995
"292","TMB-Mod6: AR1-Yr","Espawnbio",0.501579575483509,0.0382179985613408,1996
"293","TMB-Mod6: AR1-Yr","Espawnbio",0.44832761038385,0.0346606155660669,1997
"294","TMB-Mod6: AR1-Yr","Espawnbio",0.367714906315074,0.028282527678516,1998
"295","TMB-Mod6: AR1-Yr","Espawnbio",0.361944849268375,0.0275892349323113,1999
"296","TMB-Mod6: AR1-Yr","Espawnbio",0.356814358903365,0.0277350286648415,2000
"297","TMB-Mod6: AR1-Yr","Espawnbio",0.352741683758634,0.0280591501822569,2001
"298","TMB-Mod6: AR1-Yr","Espawnbio",0.303245224923557,0.0243213224939619,2002
"299","TMB-Mod6: AR1-Yr","Espawnbio",0.278808999879751,0.022250059091726,2003
"300","TMB-Mod6: AR1-Yr","Espawnbio",0.265851506119221,0.0198452518340434,2004
"301","TMB-Mod6: AR1-Yr","Espawnbio",0.316652515268009,0.024000360958609,2005
"302","TMB-Mod6: AR1-Yr","Espawnbio",0.336943550028633,0.0270981707221738,2006
"303","TMB-Mod6: AR1-Yr","Espawnbio",0.310297619064935,0.0257569287416108,2007
"304","TMB-Mod6: AR1-Yr","Espawnbio",0.316661083222462,0.02650731273711,2008
"305","TMB-Mod6: AR1-Yr","Espawnbio",0.313546676054887,0.0253190511613227,2009
"306","TMB-Mod6: AR1-Yr","Espawnbio",0.418757979032496,0.032687185884225,2010
"307","TMB-Mod6: AR1-Yr","Espawnbio",0.491158006269081,0.0380918847612895,2011
"308","TMB-Mod6: AR1-Yr","Espawnbio",0.531482296300071,0.0420646620666897,2012
"309","TMB-Mod6: AR1-Yr","Espawnbio",0.581089240975812,0.0473360498150511,2013
